"GeoType","GEOID","GeoName","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose"
"National",9999,"US",249349804,35.44,64.397,67.832,31.194,67.729,31.706,53.699,14.836,52.391,15.356,59.637,18.07,60.207,11.245,69.962,9.828,63.645,10.896,74.545,24.437,64.953,34.012,52.152,47.054,31.626,67.635,85.723,13.531,82.099,17.125,24.907,74.497,56.384,33.203,77.763,22.01,51.604,22.251,71.637,11.665,57.328,32.403,55.253,24.545,63.331,36.663,42.738,47.216,61.195,28.689,65.08,21.882,70.528,18.096,71.234,18.504,56.261,43.739,64.198,5.892
"State",1,"Alabama",3765888,27.973,71.887,62.843,35.206,62.69,36.574,50.262,15.043,48.997,15.608,53.025,21.209,54.827,13.532,64.191,10.574,58.065,11.876,70.433,28.104,58.386,40.98,62.556,35.986,35.529,62.866,82.285,16.686,79.634,19.105,19.152,80.114,48.467,40.401,75.113,24.47,44.841,27.475,63.347,14.144,50.909,37.789,45.095,27.334,55.752,44.084,37.439,49.158,54.608,31.356,58.001,24.78,60.989,22.537,62.641,21.698,50.425,49.575,53.326,7.127
"State",2,"Alaska",552380,39.532,59.61,64.15,34.16,64.217,35.151,49.862,16.004,45.292,18.031,55.131,22.345,55.47,14.728,68.648,9.489,61.751,9.927,71.899,26.583,59.217,39.29,52.474,46.826,31.7,67.161,85.767,13.191,82.04,16.802,26.879,72.302,56.101,32.978,75.946,23.675,46.416,26.556,70.159,13.81,53.769,35.449,54.596,27.633,61.018,38.567,39.119,52.09,59.708,31.641,64.119,24.607,68.425,20.811,71.07,20.788,52.617,47.383,60.916,5.94
"State",4,"Arizona",5312901,37.969,61.774,64.02,34.538,65.537,33.906,51.664,16.189,49.648,16.115,57.47,20.061,57.732,12.226,68.655,9.946,61.715,11.266,73.034,26.409,63.265,35.75,57.049,41.233,35.544,63.017,85.306,13.979,81.504,17.94,28.132,71.108,57.574,32.298,76.645,23.21,50.651,25.419,70.853,12.796,56.019,33.452,54.533,26.479,62.897,37.143,42.826,47.676,61.102,29.899,64.003,23.302,67.873,19.958,68.882,20.502,55.609,44.391,63.547,6.268
"State",5,"Arkansas",2284725,30.265,69.447,65.832,32.83,63.568,35.856,49.411,15.601,47.973,16.318,54.183,22.553,54.499,15.03,65.532,10.172,59.334,11.34,70.404,27.993,59.651,39.561,58.341,39.75,34.908,63.299,82.303,16.872,79.488,19.262,20.384,79.094,48.951,39.904,75.816,23.67,44.457,26.781,65.637,14.5,52.163,36.722,46.208,28.625,58.062,41.847,37.132,50.253,56.197,31.783,60.591,24.984,65.486,20.477,66.876,20.901,50.17,49.83,55.72,7.074
"State",6,"California",30075104,42.054,57.705,72.054,26.95,72.055,27.547,56.399,14.689,52.481,17.313,63.884,16.293,65.353,9.462,72.925,9.451,67.269,10.061,76.44,22.116,69.002,29.8,42.012,56.977,26.879,71.754,86.349,12.461,83.253,15.593,27.962,71.169,61.585,28.134,81.489,18.28,60.355,17.831,77.228,8.262,63.753,26.735,61.633,20.228,70.615,29.272,50.396,40.363,67.761,23.077,71.42,16.805,76.13,14.015,76.773,13.98,62.688,37.312,69.28,4.928
"State",8,"Colorado",4271322,40.053,59.815,64.317,34.436,68.21,31.301,51.977,16.231,49.644,17.163,59.591,20.048,58.689,11.876,70.76,9.722,64.627,10.81,74.002,25.577,64.716,34.777,45.405,54.59,30.704,69.794,86.457,12.942,82.579,16.996,30.892,68.38,57.967,32.084,76.878,23.059,50.84,25.287,72.025,12.189,57.223,32.157,56.98,26.181,63.439,36.622,41.965,49.696,61.447,30.664,65.15,23.307,70.65,18.492,71.517,19.547,55.998,44.002,65.726,6.015
"State",9,"Connecticut",2828879,38.791,61.017,72.377,27.011,73.152,26.041,54.67,13.347,54.495,12.835,63.976,14.544,63.764,8.811,73.126,8.944,66.713,9.257,77.744,21.097,70.11,29.065,52.007,47.201,30.713,69.063,87.685,11.819,84.283,14.999,26.63,73.082,55.997,33.399,80.414,19.209,54.33,18.179,73.851,9.868,61.104,29.041,59.902,21.964,67.834,32.107,43.997,46.762,63.871,26.735,68.618,19.723,76.032,14.808,75.957,15.5,58.11,41.89,68.895,5.4
"State",10,"Delaware",746069,32.632,67.675,65.264,34.23,67.134,32.521,55.5,15.858,54.778,16.093,59.931,18.641,61.16,11.014,69.196,11.385,62.874,13.985,73.968,26.243,65.44,34.538,51.995,48.973,33.118,67.322,85.436,14.345,80.849,19.289,25.541,73.949,58.566,31.943,76.258,23.771,52.664,21.533,71.461,11.663,55.428,33.427,55.548,24.33,60.58,39.77,43.32,46.44,60.408,29.658,65.416,22.544,69.531,18.862,68.986,20.166,57.873,42.127,64.733,6.307
"State",11,"District of Columbia",562763,43.136,57.063,73.823,25.544,76.609,23.048,64.724,11.822,63.531,11.672,72.856,11.573,71.146,6.649,78.906,7.551,73.151,8.994,80.911,18.893,72.911,26.472,35.553,65.919,23.076,77.182,90.562,9.123,85.727,14.352,31.914,67.407,72.575,19.725,83.968,16.101,65.919,12.65,83.448,5.689,64.745,26.958,70.382,16.92,73.069,26.998,53.407,38.375,71.532,20.458,78.357,13.968,80.627,10.867,81.202,11.641,69.365,30.635,78.645,3.558
